reference,mood
Psalm 23:1,Anxious
Psalm 23:4,Anxious
Psalm 34:4,Anxious
Psalm 46:1,Anxious
Psalm 55:22,Anxious
Psalm 94:19,Anxious
Psalm 112:7,Anxious
Psalm 121:1-2,Anxious
Proverbs 12:25,Anxious
Isaiah 26:3,Anxious
Isaiah 41:10,Anxious
Isaiah 43:1-2,Anxious
Nahum 1:7,Anxious
Matthew 6:25,Anxious
Matthew 6:26,Anxious
Matthew 6:34,Anxious
Matthew 11:28,Anxious
Luke 12:22,Anxious
John 14:1,Anxious
John 14:27,Anxious
John 16:33,Anxious
Romans 8:28,Anxious
Romans 8:31,Anxious
Philippians 4:6,Anxious
Philippians 4:7,Anxious
Philippians 4:19,Anxious
Colossians 3:15,Anxious
1 Peter 5:7,Anxious
2 Timothy 1:7,Anxious
1 Corinthians 10:13,Anxious
Hebrews 13:5,Anxious
1 John 4:18,Anxious
Psalm 100:4,Grateful
Psalm 100:5,Grateful
Psalm 107:1,Grateful
Psalm 118:1,Grateful
Psalm 136:1,Grateful
Psalm 92:1,Grateful
Psalm 9:1,Grateful
Psalm 30:12,Grateful
Psalm 106:1,Grateful
1 Chronicles 16:34,Grateful
1 Chronicles 29:13,Grateful
Deuteronomy 8:10,Grateful
Jeremiah 33:11,Grateful
1 Thessalonians 5:18,Grateful
Colossians 3:15,Grateful
Colossians 3:17,Grateful
Colossians 2:6-7,Grateful
Philippians 4:6,Grateful
Ephesians 5:20,Grateful
Hebrews 12:28,Grateful
James 1:17,Grateful
2 Corinthians 9:15,Grateful
2 Corinthians 4:15,Grateful
Luke 17:15-16,Grateful
Romans 1:21,Grateful
1 Timothy 4:4,Grateful
Psalm 95:2,Grateful
Psalm 136:26,Grateful
Revelation 7:12,Grateful
Psalm 118:29,Grateful
Jeremiah 29:11,Hopeful
Lamentations 3:22-23,Hopeful
Lamentations 3:24,Hopeful
Psalm 39:7,Hopeful
Psalm 42:11,Hopeful
Psalm 71:14,Hopeful
Psalm 130:5,Hopeful
Isaiah 40:31,Hopeful
Isaiah 41:10,Hopeful
Proverbs 23:18,Hopeful
Job 11:18,Hopeful
Psalm 62:5,Hopeful
Romans 15:13,Hopeful
Romans 8:28,Hopeful
Romans 5:3-5,Hopeful
Romans 12:12,Hopeful
Hebrews 6:19,Hopeful
Hebrews 10:23,Hopeful
Hebrews 11:1,Hopeful
1 Peter 1:3,Hopeful
1 Corinthians 13:13,Hopeful
2 Corinthians 4:16-18,Hopeful
Titus 2:13,Hopeful
Colossians 1:27,Hopeful
Philippians 1:6,Hopeful
1 Thessalonians 4:13,Hopeful
Psalm 33:18,Hopeful
Psalm 146:5,Hopeful
Romans 15:4,Hopeful
1 Peter 1:13,Hopeful
Psalm 34:18,Grieving
Psalm 147:3,Grieving
Psalm 30:5,Grieving
Psalm 56:8,Grieving
Psalm 116:15,Grieving
Psalm 73:26,Grieving
Isaiah 61:1-3,Grieving
Isaiah 43:2,Grieving
Ecclesiastes 3:4,Grieving
Lamentations 3:31-33,Grieving
Job 1:21,Grieving
Matthew 5:4,Grieving
John 11:35,Grieving
John 14:1-3,Grieving
2 Corinthians 1:3-4,Grieving
2 Corinthians 4:17,Grieving
Romans 8:18,Grieving
Revelation 21:4,Grieving
1 Thessalonians 4:13-14,Grieving
Philippians 1:21,Grieving
Romans 8:38-39,Grieving
1 Corinthians 15:55,Grieving
Psalm 22:24,Grieving
Psalm 42:5,Grieving
Psalm 43:5,Grieving
John 16:22,Grieving
James 4:8,Grieving
Isaiah 53:3,Grieving
Isaiah 66:13,Grieving
Psalm 119:50,Grieving
Joshua 1:9,Afraid
Psalm 27:1,Afraid
Psalm 56:3,Afraid
Psalm 118:6,Afraid
Deuteronomy 31:6,Afraid
Deuteronomy 31:8,Afraid
Isaiah 41:10,Afraid
Isaiah 41:13,Afraid
Isaiah 43:1,Afraid
Psalm 34:4,Afraid
Psalm 91:1-2,Afraid
Psalm 91:4-5,Afraid
Proverbs 3:25-26,Afraid
2 Chronicles 20:15,Afraid
2 Chronicles 20:17,Afraid
2 Timothy 1:7,Afraid
1 John 4:18,Afraid
Matthew 10:28,Afraid
Matthew 10:31,Afraid
Luke 12:32,Afraid
John 14:27,Afraid
Romans 8:15,Afraid
Hebrews 13:6,Afraid
Philippians 4:6-7,Afraid
1 Peter 3:14,Afraid
Mark 5:36,Afraid
Psalm 23:4,Afraid
Isaiah 12:2,Afraid
Isaiah 54:4,Afraid
Zephaniah 3:17,Afraid
Deuteronomy 31:6,Lonely
Deuteronomy 31:8,Lonely
Psalm 25:16,Lonely
Psalm 68:6,Lonely
Psalm 27:10,Lonely
Psalm 34:18,Lonely
Psalm 139:7-10,Lonely
Psalm 147:3,Lonely
Isaiah 41:9-10,Lonely
Isaiah 49:15-16,Lonely
Genesis 28:15,Lonely
Hebrews 13:5,Lonely
Matthew 28:20,Lonely
John 14:18,Lonely
John 14:16-17,Lonely
Romans 8:38-39,Lonely
2 Timothy 4:16-17,Lonely
Psalm 62:1-2,Lonely
1 Kings 19:12,Lonely
Psalm 102:7,Lonely
Isaiah 43:2,Lonely
John 16:32,Lonely
Matthew 18:20,Lonely
James 4:8,Lonely
Psalm 68:5-6,Lonely
Psalm 71:9,Lonely
Ruth 1:16,Lonely
Ecclesiastes 4:9-10,Lonely
Ecclesiastes 4:12,Lonely
Revelation 3:20,Lonely
Proverbs 15:1,Angry
Proverbs 15:18,Angry
Proverbs 16:32,Angry
Proverbs 19:11,Angry
Proverbs 22:24-25,Angry
Proverbs 29:11,Angry
Proverbs 29:22,Angry
Psalm 37:8,Angry
Ecclesiastes 7:9,Angry
Genesis 4:6-7,Angry
Ephesians 4:26,Angry
Ephesians 4:31,Angry
Ephesians 4:32,Angry
James 1:19,Angry
James 1:20,Angry
Colossians 3:8,Angry
Colossians 3:13,Angry
Romans 12:19,Angry
Romans 12:21,Angry
Matthew 5:22,Angry
Matthew 5:9,Angry
Galatians 5:22-23,Angry
1 Corinthians 13:4-5,Angry
Titus 1:7,Angry
Psalm 4:4,Angry
Psalm 103:8,Angry
Nahum 1:3,Angry
Jonah 4:4,Angry
Mark 3:5,Angry
Luke 6:27-28,Angry
Isaiah 40:29,Weary
Isaiah 40:30-31,Weary
Psalm 62:1-2,Weary
Psalm 68:9,Weary
Psalm 61:2,Weary
Psalm 6:6,Weary
Exodus 33:14,Weary
Jeremiah 31:25,Weary
Isaiah 30:15,Weary
Psalm 127:2,Weary
Matthew 11:28,Weary
Matthew 11:29,Weary
Matthew 11:30,Weary
Galatians 6:9,Weary
2 Corinthians 4:16,Weary
2 Corinthians 12:9,Weary
Philippians 4:13,Weary
Hebrews 12:1,Weary
Hebrews 12:3,Weary
Hebrews 4:9-10,Weary
2 Thessalonians 3:13,Weary
Romans 8:26,Weary
Psalm 73:26,Weary
John 4:6,Weary
Mark 6:31,Weary
Revelation 14:13,Weary
1 Corinthians 15:58,Weary
Psalm 55:6,Weary
Psalm 143:8,Weary
Isaiah 35:3-4,Weary
Psalm 16:11,Joyful
Psalm 118:24,Joyful
Psalm 30:5,Joyful
Psalm 5:11,Joyful
Psalm 19:8,Joyful
Psalm 28:7,Joyful
Psalm 126:3,Joyful
Nehemiah 8:10,Joyful
Isaiah 55:12,Joyful
Zephaniah 3:17,Joyful
Habakkuk 3:18,Joyful
Proverbs 17:22,Joyful
John 15:11,Joyful
John 16:24,Joyful
John 16:22,Joyful
Romans 15:13,Joyful
Galatians 5:22,Joyful
Philippians 4:4,Joyful
1 Thessalonians 5:16,Joyful
James 1:2,Joyful
1 Peter 1:8,Joyful
Romans 12:12,Joyful
Psalm 100:1-2,Joyful
Luke 2:10,Joyful
Luke 15:7,Joyful
Acts 13:52,Joyful
Psalm 21:6,Joyful
Psalm 43:4,Joyful
3 John 1:4,Joyful
Romans 14:17,Joyful
Proverbs 3:5-6,Seeking Guidance
Proverbs 3:5,Seeking Guidance
Proverbs 16:9,Seeking Guidance
Proverbs 16:3,Seeking Guidance
Proverbs 19:21,Seeking Guidance
Proverbs 20:24,Seeking Guidance
Psalm 32:8,Seeking Guidance
Psalm 25:4-5,Seeking Guidance
Psalm 25:9,Seeking Guidance
Psalm 37:23,Seeking Guidance
Psalm 119:105,Seeking Guidance
Psalm 143:8,Seeking Guidance
Psalm 143:10,Seeking Guidance
Isaiah 30:21,Seeking Guidance
Isaiah 58:11,Seeking Guidance
James 1:5,Seeking Guidance
James 1:6,Seeking Guidance
John 16:13,Seeking Guidance
Romans 12:2,Seeking Guidance
Colossians 1:9-10,Seeking Guidance
Ephesians 5:15-17,Seeking Guidance
2 Timothy 3:16-17,Seeking Guidance
Hebrews 4:16,Seeking Guidance
Matthew 7:7,Seeking Guidance
Matthew 7:8,Seeking Guidance
Luke 11:9,Seeking Guidance
Jeremiah 33:3,Seeking Guidance
Jeremiah 10:23,Seeking Guidance
Job 12:13,Seeking Guidance
Proverbs 15:22,Seeking Guidance
